Symbol,Description,Market Cap,Last,%Change,Volume,Gross Profit Margin - Current (Annual),Free Cash Flow Per Share - Current (Annual),Return on Equity (ROE) - Current (Annual),PE,EPS,Vol Index,IV_Percentile,HV_Percentile
LUV,SOUTHWEST AIRLINES CO COM,"27,559 M",46.5594,-1.77%,"1,700,378",51.989,-$6.19,-32.863,-776,-0.06,38.56%,30.26,45
MRO,MARATHON OIL CORPORATION COM,"12,394 M",15.92,-1.06%,"4,978,190",2.2422,$0.01,-12.776,-398,-0.04,50.64%,6.61,7
DAL,DELTA AIR LINES INC COM,"25,460 M",39.78,-2.28%,"4,301,269",13.472,-$11.54,-146.64,-331.5,-0.12,40.75%,16.79,32
GE,GENERAL ELECTRIC CO COM,"109,352 M",99.58,-2.36%,"2,662,242",25.284,-$0.85,15.867,-262.1,-0.38,32.85%,9.74,25
TWTR,TWITTER INC COM,"39,557 M",49.4702,-2.25%,"4,823,497",63.233,$0.18,-13.621,-224.9,-0.22,42.53%,11.94,34
CDAY,CERIDIAN HCM HLDG INC COM,"17,621 M",116.44,-1.31%,"196,900",50.445,$0.48,-0.20098,-207.9,-0.56,32.21%,9.28,26
VNO,VORNADO REALTY TRUST COM SHS OF BEN INT USD0.04,"8,637 M",45.06,0.96%,"208,082",8.6709,-$5.41,-6.234,-71.52,-0.63,32.92%,5.51,10
VLO,VALERO ENERGY CORP COM,"29,598 M",72.395,-1.44%,"911,028",-1.2432,-$4.93,-7.0239,-67.03,-1.08,37.18%,13.36,8
PSX,PHILLIPS 66 COM,"32,225 M",73.545,-1.52%,"488,859",7.8389,-$4.68,-18.148,-63.95,-1.15,35.12%,25.58,17
PEG,PUBLIC SERVICE ENTERPRISE GRP COM,"31,493 M",62.28,-0.29%,"337,005",54.795,-$2.18,12.261,-47.18,-1.32,23.58%,40.48,34
XOM,EXXON MOBIL CORPORATION COM,"268,620 M",63.45,-1.34%,"4,310,638",18.341,-$3.71,-12.867,-45.65,-1.39,28.66%,5.2,6
HST,HOST HOTELS & RESORTS INC COM STK USD0.01,"12,310 M",17.24,-0.75%,"756,072",-50.926,-$1.65,-10.733,-30.79,-0.56,27.83%,6.14,5
LYV,LIVE NATION ENTERTAINMENT INC COM,"25,384 M",112.99,-1.83%,"235,696",5.408,-$6.49,-511.34,-27.1,-4.17,46.15%,37.69,77
EXPE,EXPEDIA GROUP INC COM,"26,372 M",174.04,-2.00%,"508,259",50.51,-$13.10,-98.114,-26.61,-6.54,40.64%,23.45,58
OXY,OCCIDENTAL PETROLEUM CORP COM,"28,402 M",30.41,-1.14%,"4,741,068",6.8612,$0.93,-94.198,-26.44,-1.15,50.04%,1.32,8
LVS,LAS VEGAS SANDS CORP COM,"29,314 M",38.37,-2.34%,"2,062,559",-5.8416,-$3.55,-41.299,-25.58,-1.5,47.61%,38.82,67
BMY,BRISTOL-MYERS SQUIBB CO COM,"131,425 M",59.21,-0.39%,"1,793,497",51.03,$3.65,-20.163,-24.88,-2.38,24.17%,41,22
TAP,MOLSON COORS BEVERAGE COMPANY COM CL B,"10,099 M",46.545,-2.46%,"231,208",36.755,$4.24,-7.361,-22.59,-2.06,31.25%,16.37,26
CZR,CAESARS ENTERTAINMENT INC NEW COM,"20,860 M",97.58,-3.10%,"827,193",26.713,-$6.56,-57.294,-20.67,-4.72,52.46%,20.93,30
LUMN,LUMEN TECHNOLOGIES INC COM,"14,099 M",13.77,0.07%,"1,289,229",34.125,$2.05,-10.003,-19.39,-0.71,42.28%,10.03,24
HBI,HANESBRANDS INC COM,"6,017 M",17.23,-1.43%,"895,068",38.372,$0.85,-7.3716,-19.36,-0.89,31.01%,11.99,5
PPL,PPL CORP COM,"21,189 M",28.2252,-0.93%,"865,643",66.439,-$2.06,11.136,-16.41,-1.72,19.35%,30.76,12
BA,BOEING CO COM,"132,993 M",226.295,-0.14%,"5,446,398",-6.7649,-$6.22,1047.9,-15.21,-14.88,37.90%,20.08,35
WYNN,WYNN RESORTS LTD COM,"10,582 M",91.49,-3.69%,"752,140",-21.009,-$11.48,-297.22,-12.01,-7.62,47.74%,27.4,29
MCK,MCKESSON CORPORATION COM,"34,167 M",223.78,-0.02%,"304,868",5.1564,-$27.22,-179.02,-7.53,-29.72,25.98%,21.1,36
VTRS,VIATRIS INC COM,"16,139 M",13.345,-2.23%,"2,578,818",38.019,$2.80,-3.8458,-5.514,-2.42,34.34%,29.91,37
UAL,UNITED AIRLINES HOLDINGS COM,"15,248 M",47.0905,-3.38%,"3,763,944",29.254,-$21.79,-80.83,-4.489,-10.49,45.16%,17.75,28
RCL,ROYAL CARIBBEAN GROUP COM,"21,074 M",82.71,-0.67%,"849,416",-83.102,-$21.89,-55.413,-3.829,-21.6,46.65%,13.11,29
AAL,AMERICAN AIRLINES GROUP INC COM,"12,497 M",19.2995,-2.82%,"11,170,323",30.184,-$20.19,49.773,-3.676,-5.25,50.85%,15.06,32
CCL,CARNIVAL CORP UNITS,"24,190 M",20.75,-2.72%,"10,536,153",-25.13,-$9.58,-44.582,-2.497,-8.31,56.45%,27.32,13
NCLH,NORWEGIAN CRUISE LINE HLDGS LT COM,"8,648 M",23.37,-2.63%,"6,959,187",-88.365,-$9.53,-73.829,-2.241,-10.43,63.99%,31.43,28
BIO,BIO RAD LABORATORIES INC COM CL A,"23,042 M",770.15,-1.26%,"13,414",56.407,$13.40,48.689,3.493,220.5,27.52%,25.1,50
NRG,NRG ENERGY INC COM,"8,716 M",35.6,-2.31%,"374,130",23.293,$5.95,30.557,3.571,9.97,28.31%,6.09,42
EBAY,EBAY INC COM,"46,816 M",74.785,1.91%,"1,602,832",75.66,$2.29,176.24,4.064,18.4,30.13%,10.04,84
MPC,MARATHON PETROLEUM CORP COM,"38,351 M",62.3,-2.01%,"1,316,770",1.1288,-$3.31,-35.164,4.369,14.26,36.23%,18.46,23
LYB,LYONDELLBASELL INDUSTRIES N V COM,"30,357 M",91.22,-0.84%,"976,677",<empty>,<empty>,<empty>,5.328,17.12,33.83%,34.17,10
OGN,ORGANON & CO COM,"8,096 M",31.93,-3.10%,"502,320",58.659,$8.32,34.502,5.337,5.983,41.99%,NaN,11
COF,CAPITAL ONE FINANCIAL CORP COM,"64,631 M",151.85,-0.07%,"630,657",<empty>,$28.47,4.3874,5.662,26.82,33.02%,16.36,33
PRU,PRUDENTIAL FINANCIAL INC COM,"41,134 M",108.82,-1.32%,"297,444",<empty>,$16.68,-1.1556,5.921,18.38,30.61%,46.74,8
C,CITIGROUP INC COM,"131,914 M",66.48,-0.55%,"4,645,223",<empty>,$11.32,5.5621,6.289,10.57,28.30%,15.52,14
GS,GOLDMAN SACHS GROUP INC COM,"129,151 M",387.1699,-1.12%,"580,055",89.276,$19.15,10.886,6.381,60.68,29.33%,25.83,19
VIAC,VIACOMCBS INC COM CL B,"22,087 M",34.115,-2.75%,"4,051,213",39.735,$21.60,16.95,6.663,5.12,39.51%,3.9,8
NUE,NUCOR CORP COM,"31,741 M",111.06,1.79%,"742,430",11.063,$1.51,6.7823,6.674,16.64,43.95%,48.39,60
SYF,SYNCHRONY FINANCIAL COM,"26,356 M",48.16,-0.88%,"1,020,969",<empty>,$11.23,10.217,6.812,7.07,33.50%,21.59,8
DD,DUPONT DE NEMOURS INC COM,"41,153 M",79.43,0.18%,"1,306,169",23.317,$1.16,-7.4247,6.836,11.62,27.35%,20.25,63
DFS,DISCOVER FINANCIAL SERVICES COM,"33,589 M",114.61,-0.67%,"263,011",<empty>,$16.63,10.456,6.838,16.76,34.41%,23.01,19
COO,COOPER COS INC COM,"19,783 M",401.245,-1.80%,"89,313",57.493,$6.03,6.3973,6.841,58.65,32.19%,47.92,60
CE,CELANESE CORP COM,"18,212 M",167.28,0.23%,"83,694",22.476,$3.43,65.805,6.856,24.4,30.12%,22.86,50
AIZ,ASSURANT INC COM,"9,125 M",160.16,-0.54%,"82,468",<empty>,$16.58,8.8173,7.046,22.73,24.96%,28.9,12
WHR,WHIRLPOOL CORP COM,"14,023 M",230.85,-0.29%,"73,567",19.47,$16.97,30.912,7.352,31.4,35.36%,31.34,20
DOW,DOW INC COM,"42,846 M",57.93,-0.70%,"1,218,662",12.485,$2.30,9.3625,7.504,7.72,28.96%,16.01,25
BRK/B,BERKSHIRE HATHAWAY INC COM CL B,"625,526 M",280.08,-0.54%,"888,268",<empty>,<empty>,<empty>,7.565,37.02,19.40%,22.4,4
CINF,CINCINNATI FINANCIAL CORP COM,"18,995 M",117.88,-0.73%,"60,906",<empty>,$6.75,12.552,7.59,15.53,27.16%,14.15,26
MOS,MOSAIC CO COM,"13,551 M",36.585,0.54%,"1,069,316",12.266,-$0.50,7.0987,7.784,4.7,45.36%,15.66,44
PHM,PULTE GROUP INC COM,"13,133 M",51.87,-0.94%,"455,221",24.995,$5.55,23.185,8.017,6.47,32.57%,20.35,17
DISH,DISH NETWORK CORPORATION COM CL A,"18,315 M",34.635,-2.33%,"468,963",30.627,$6.07,13.91,8.286,4.18,44.05%,11.83,93
LEN,LENNAR CORP COM CL A,"34,107 M",110.21,-0.15%,"278,100",17.012,$8.42,14.357,8.362,13.18,35.32%,33.3,4
WU,WESTERN UNION COMPANY (THE) COM,"6,701 M",16.6693,-2.46%,"2,992,539",41.634,$1.74,1012,8.462,1.97,35.50%,56.75,56
GM,GENERAL MOTORS CO COM,"91,932 M",63.32,-2.00%,"7,494,006",17.449,-$2.87,14.39,8.465,7.48,41.64%,27.24,40
DGX,QUEST DIAGNOSTICS INC COM,"17,989 M",146.64,-0.80%,"89,036",38.296,$9.32,22.984,8.818,16.63,24.81%,32.97,47
AIG,AMER INTL GRP INC COM,"46,713 M",56.26,-1.21%,"767,636",<empty>,-$0.11,-11.343,8.832,6.37,28.85%,16.61,8
DHI,DR HORTON INC COM,"36,111 M",101.43,-0.11%,"570,848",28.354,$10.47,31.248,8.89,11.41,32.77%,13.45,23
RF,REGIONS FINANCIAL CORP COM,"22,764 M",23.88,-0.62%,"1,209,710",<empty>,$1.80,6.382,8.944,2.67,27.10%,4.81,5
AFL,AFLAC INC COM,"36,841 M",55.69,-2.16%,"706,738",<empty>,$7.25,21.913,9.011,6.18,24.16%,27.73,25
CI,CIGNA CORPORATION COM,"71,897 M",216.93,-0.02%,"370,160",<empty>,$25.13,17.684,9.184,23.62,28.72%,26.6,8
KEY,KEYCORP COM,"21,940 M",23.565,-0.61%,"2,252,896",<empty>,$0.51,7.9247,9.205,2.56,26.13%,3.19,0
L,LOEWS CORP COM,"14,374 M",56.66,-0.89%,"127,464",<empty>,$3.44,-5.3974,9.319,6.08,28.59%,32.47,11
ZION,ZIONS BANCORPORATION N A COM,"10,352 M",66.165,-0.19%,"214,639",<empty>,$3.31,7.1029,9.359,7.07,28.13%,0,3
INTC,INTEL CORP COM,"200,534 M",49.3075,-1.84%,"9,712,786",55.745,$3.12,26.338,9.574,5.15,28.50%,22.55,75
HPQ,HP INCORPORATION COM,"35,757 M",31.025,0.31%,"1,714,917",18.228,$2.40,20.905,9.635,3.22,38.47%,70.64,19
VZ,VERIZON COMMUNICATIONS COM,"212,742 M",51.385,-0.67%,"5,669,501",47.057,$3.21,27.548,9.659,5.32,21.56%,56.16,24
IVZ,INVESCO LTD COM,"11,313 M",24.53,-1.64%,"402,436",68.309,$0.82,5.1952,9.696,2.53,35.14%,18.66,15
BEN,FRANKLIN RESOURCES INC COM,"17,448 M",34.77,-0.66%,"539,853",<empty>,$1.30,7.8278,9.739,3.57,32.64%,20.88,59
CB,CHUBB LIMITED COM,"82,771 M",192.16,0.20%,"258,762",<empty>,$18.52,6.5696,9.774,19.66,20.22%,9.9,26
NLSN,NIELSEN HLDGS PLC COM,"7,692 M",21.43,-2.19%,"415,278",42.385,$2.49,-0.28262,9.876,2.17,35.93%,29.24,44
CFG,CITIZENS FINL GROUP INC COM,"21,289 M",49.95,-0.20%,"1,041,954",<empty>,$5.14,4.5961,10.03,4.98,30.26%,12.37,4
UHS,UNIVERSAL HEALTH SERVICES INC COM CL B,"10,018 M",124.64,-2.06%,"444,910",95.584,$9.12,15.92,10.04,12.42,30.14%,20.18,37
HOLX,HOLOGIC INC COM,"18,494 M",72.9601,-0.40%,"411,602",66.644,$8.32,54.06,10.12,7.21,27.19%,12.68,37
LH,LABORATORY CORP AMER HLDGS COM,"27,318 M",285.45,-1.48%,"105,384",33.461,$26.64,18.386,10.12,28.2,29.03%,35.13,66
LNC,LINCOLN NATIONAL CORP COM,"12,783 M",70.74,-1.86%,"292,413",<empty>,$1.15,2.7439,10.12,6.99,34.53%,14.96,15
MET,METLIFE INC COM,"52,257 M",62.125,-1.59%,"826,119",<empty>,$10.71,11.641,10.27,6.05,28.41%,35.31,22
