Symbol,Description,Market Cap,Last,%Change,Volume,Gross Profit Margin - Current (Annual),Free Cash Flow Per Share - Current (Annual),Return on Equity (ROE) - Current (Annual),PE,EPS,Vol Index,IV_Percentile,HV_Percentile
MGM,MGM RESORTS INTERNATIONAL COM,"21,000 M",44.78,-1.60%,"1,442,673",10.144,-$2.46,-14.014,35.82,1.25,41.05%,10.96,18
V,VISA INC COM CL A,"440,731 M",201.9,-1.54%,"5,281,559",76.046,$7.54,34.716,35.86,5.63,29.61%,46.4,99
MLM,MARTIN MARIETTA MATERIALS INC COM,"26,257 M",420.91,-0.63%,"71,481",26.487,$9.90,12.817,36.13,11.65,25.33%,4.99,42
BDX,BECTON DICKINSON & CO COM,"71,272 M",248.17,-0.68%,"416,185",47.674,$7.14,8.4401,36.23,6.85,23.83%,27.08,40
RSG,REPUBLIC SERVICES INC COM,"43,575 M",137.42,-0.02%,"118,596",29.215,$2.77,11.652,36.26,3.79,17.71%,15.03,55
TFX,TELEFLEX INC COM,"15,652 M",334.12,-1.59%,"37,062",52.219,$5.50,10.619,36.56,9.14,37.56%,54.05,65
BKR,BAKER HUGHES COMPANY COM CL A,"20,636 M",23.72,-2.55%,"1,296,632",15.45,-$0.55,-37.872,37.06,0.64,39.28%,14.18,31
BR,BROADRIDGE FIN SOLUTIONS INC COM,"20,182 M",173.12,-0.88%,"44,500",28.494,$5.20,34.7,37.15,4.66,21.68%,22.55,67
PAYX,PAYCHEX INC COM,"45,034 M",124.89,-0.76%,"122,677",95.267,$1.44,38.311,37.17,3.36,20.28%,31.64,14
ADP,AUTOMATIC DATA PROCESSING INC COM,"99,451 M",236.01,-0.37%,"222,501",47.194,$5.32,45.499,37.34,6.32,22.00%,30.32,2
MAS,MASCO CORP COM,"16,593 M",67.98,-0.16%,"169,699",35.991,$2.24,<empty>,37.56,1.81,26.01%,8.93,61
EXR,EXTRA SPACE STORAGE INC COM USD0.01,"27,064 M",202.13,0.43%,"175,936",57.562,-$0.84,18.911,37.57,5.38,21.96%,16.08,47
GLW,CORNING INC COM,"32,395 M",37.96,-0.63%,"576,670",30.169,-$0.38,3.8397,37.58,1.01,26.37%,20.82,76
RTX,RAYTHEON TECH CORP COM,"129,935 M",86.81,-0.15%,"1,171,760",15.777,-$1.28,-6.1771,37.74,2.3,25.08%,8.12,13
MSFT,MICROSOFT CORP COM,"2,550,686 M",339.73,0.18%,"9,155,318",68.926,$5.33,47.079,38,8.94,23.09%,22.75,29
NXPI,NXP SEMICONDUCTORS N V COM,"57,988 M",218.055,0.11%,"361,507",<empty>,<empty>,<empty>,38.46,5.67,36.38%,33.69,18
ZBRA,ZEBRA TECHNOLOGIES COM CL A,"32,277 M",603.97,-0.31%,"42,397",44.526,$11.78,25.308,38.52,15.68,26.99%,19.46,58
REG,REGENCY CENTERS CORP COM USD0.01,"12,844 M",75.02,0.44%,"127,092",39.189,-$0.33,0.73599,38.67,1.94,30.38%,56.98,7
BLL,BALL CORP COM,"30,602 M",94.48,-0.61%,"449,124",15.194,$0.68,18.798,38.88,2.43,23.80%,24.2,92
WAB,WABTEC CORP COM,"17,582 M",94.11,-1.10%,"78,727",24.546,$3.29,4.1158,39.05,2.41,30.03%,17.82,14
